,Unidentified detritus,Plant material,Terrestrial invertebrates ,Achnanthes inflata,Achnanthes lanceolata,Achnanthes linearis,Achnanthes minutissima,Blue green algae,Calothrix,Cocconeis placentula,Cymbella aspera,Cymbella kappi,Eunotia pectinalis,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema angustatum,Gomphonema truncatum,Melosira varians,Navicula avenacea,Pinnularia divergens,Pinnularia gibba,Pinnularia sp.,Pinnularia viridis,Rhoicosphenia curvata,Surirella elegans,Surirella striatula,Synedra rumpens,Tabellaria flocculosa,Unknown green algal cells,Ameletopsis perscitus,Aspectrotanypus,Austroperla cyrene,Coloburiscus humeralis,Cricotopus II,Cristaperla,Deleatidium,Eriopterini,Eukiefiriella,Forcipomyiinae,Hydora adult,Hydora nitida l,Hydrobiosella stenocerca,Larsia sp.,Naonella,Oligochaeta I  ,Oligochaeta II,Oligochaeta lumbr blue,Paracalliope fluviatalus,Paralimnophila,Patatanytarsus nr grimmi,Paucispinigera approximata,Polypedellum green type,Stenoperla prasinia,Stictoclcaius,Tanytarsus spp.,Tanytarsus verspertinus,Zelanoperla,Paranephrops
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Achnanthes inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blue green algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Calothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
