###=============================================================================================
# Broadstone Stream individual predation event data, used in the Gilljam et al AER v.45 chapter.
# 
# CSV-format:
# [Predator ID] [Predator Unique ID] [Predator mass] [Prey ID] [Prey mass] [Locality] [Season]
#
# Note that individual predators can have several prey, ie be represented on several rows,
# having the same Predator Unique ID.
#
# Taxa omitted from the original data set (see Guy's comments in the original Excel sheet):
# Platambus, Bezzia (Ceratopogonidae), Heterotanytarsus & Niphargus.
#
# Data originally from 	Guy Woodward (g.woodward@qmul.ac.uk)
# Reformatted by		David Gilljam (david.gilljam@liu.se)
###=============================================================================================

"","predID","predUniqueID","predMass","preyID","preyMass","locality","season"
"1","Zavrelimyia","Zavrelimyia60June",0.081715337,"Leuctra.nigra",0.00673,"Broadstone Stream","June"
"2","Zavrelimyia","Zavrelimyia68June",0.081715337,"Cyclopoids",4.57e-05,"Broadstone Stream","June"
"3","Zavrelimyia","Zavrelimyia55June",0.161751461,"Polypedilum",0.015,"Broadstone Stream","June"
"4","Zavrelimyia","Zavrelimyia70June",0.081715337,"Zavrelimyia",0.0076,"Broadstone Stream","June"
"5","Zavrelimyia","Zavrelimyia87June",0.081715337,"Leuctra.nigra",0.00673,"Broadstone Stream","June"
"6","Zavrelimyia","Zavrelimyia91June",0.081715337,"Nemurella",0.093,"Broadstone Stream","June"
"7","Zavrelimyia","Zavrelimyia104June",0.081715337,"Leuctra.nigra",0.00673,"Broadstone Stream","June"
"8","Zavrelimyia","Zavrelimyia132June",0.081715337,"Zavrelimyia",0.00076,"Broadstone Stream","June"
"9","Zavrelimyia","Zavrelimyia139June",0.081715337,"Polypedilum",0.00122,"Broadstone Stream","June"
"10","Zavrelimyia","Zavrelimyia143June",0.081715337,"Micropsectra",0.0053,"Broadstone Stream","June"
"11","Zavrelimyia","Zavrelimyia149June",0.081715337,"Leuctra.nigra",0.00673,"Broadstone Stream","June"
"12","Zavrelimyia","Zavrelimyia13June",0.009798324,"Brillia",0.015,"Broadstone Stream","June"
"13","Zavrelimyia","Zavrelimyia163June",0.081715337,"Leuctra.nigra",0.00673,"Broadstone Stream","June"
"14","Zavrelimyia","Zavrelimyia164June",0.081715337,"Polypedilum",0.0073,"Broadstone Stream","June"
"15","Zavrelimyia","Zavrelimyia24June",0.033883717,"Heterotrissocladius",0.0067,"Broadstone Stream","June"
"16","Zavrelimyia","Zavrelimyia27June",0.033883717,"Heterotrissocladius",0.0036,"Broadstone Stream","June"
"17","Zavrelimyia","Zavrelimyia28June",0.033883717,"Heterotrissocladius",0.0019,"Broadstone Stream","June"
