Threshold,site,TPR,FPR
0.00015,Dempsters,0,0.006711409395973154
0.00015,Little,0,0.023076923076923078
0.00015,Narrowdale,0.08333333333333333,0.08624708624708624
0.00015,German,0.15151515151515152,0.05392156862745098
0.00015,Berwick,0.2222222222222222,0.04421768707482993
0.00015,Canton,0.25,0.035526315789473684
0.00015,Broad,0.25,0.03567035670356704
0.00015,Sutton,0.2631578947368421,0.0297029702970297
0.00015,Venlaw,0.26666666666666666,0.05901639344262295
0.00015,Kyeburn,0.2857142857142857,0.041916167664670656
0.00015,Blackrock,0.32,0.040865384615384616
0.00015,Powder,0.3333333333333333,0.04148783977110158
0.00015,Healy,0.34146341463414637,0.0775
0.00015,Stony,0.3548387096774194,0.05312084993359894
0.00015,Catlins,0.4166666666666667,0.10638297872340426
0.00015,NorthCol,0.5,0.04975124378109453
0.00015,AkatoreB,1,0.9859154929577465
0.00059,Dempsters,0,0.00587248322147651
0.00059,Blackrock,0,0.01201923076923077
0.00059,Little,0,0.019230769230769232
0.00059,German,0.030303030303030304,0.02696078431372549
0.00059,Broad,0.03571428571428571,0.013530135301353014
0.00059,Canton,0.041666666666666664,0.013157894736842105
0.00059,Narrowdale,0.08333333333333333,0.07459207459207459
0.00059,Sutton,0.10526315789473684,0.00825082508250825
0.00059,Kyeburn,0.10714285714285714,0.01996007984031936
0.00059,Berwick,0.1111111111111111,0.012471655328798186
0.00059,Powder,0.2,0.015736766809728183
0.00059,Venlaw,0.2,0.02459016393442623
0.00059,Healy,0.21951219512195122,0.0525
0.00059,NorthCol,0.22727272727272727,0.01990049751243781
0.00059,Stony,0.2903225806451613,0.03718459495351926
0.00059,Catlins,0.3333333333333333,0.058027079303675046
0.00059,AkatoreB,0.75,0.9061032863849765
0.001,Dempsters,0,0.00587248322147651
0.001,Canton,0,0.006578947368421052
0.001,Blackrock,0,0.007211538461538462
0.001,Berwick,0,0.007936507936507936
0.001,Little,0,0.019230769230769232
0.001,German,0.030303030303030304,0.022058823529411766
0.001,Broad,0.03571428571428571,0.008610086100861008
0.001,Kyeburn,0.07142857142857142,0.013972055888223553
0.001,Narrowdale,0.08333333333333333,0.06060606060606061
0.001,Stony,0.0967741935483871,0.029216467463479414
0.001,Sutton,0.10526315789473684,0.0049504950495049506
0.001,Powder,0.13333333333333333,0.010014306151645207
0.001,NorthCol,0.13636363636363635,0.013266998341625208
0.001,Catlins,0.16666666666666666,0.0425531914893617
0.001,Healy,0.17073170731707318,0.0375
0.001,Venlaw,0.2,0.014754098360655738
0.001,AkatoreB,0.6666666666666666,0.7887323943661971
0.0015,Blackrock,0,0.002403846153846154
0.0015,Berwick,0,0.003401360544217687
0.0015,Canton,0,0.003947368421052632
0.0015,Dempsters,0,0.00587248322147651
0.0015,Little,0,0.019230769230769232
0.0015,Narrowdale,0,0.05827505827505827
0.0015,German,0.030303030303030304,0.01715686274509804
0.0015,Broad,0.03571428571428571,0.004920049200492005
0.0015,NorthCol,0.045454545454545456,0.003316749585406302
0.0015,Stony,0.06451612903225806,0.02257636122177955
0.0015,Kyeburn,0.07142857142857142,0.00998003992015968
0.0015,Powder,0.1,0.005722460658082976
0.0015,Sutton,0.10526315789473684,0.0049504950495049506
0.0015,Venlaw,0.13333333333333333,0.013114754098360656
0.0015,Healy,0.14634146341463414,0.0275
0.0015,Catlins,0.16666666666666666,0.03868471953578337
0.0015,AkatoreB,0.6666666666666666,0.7089201877934272
0.003,Sutton,0,0.0016501650165016502
0.003,Blackrock,0,0.002403846153846154
0.003,Berwick,0,0.003401360544217687
0.003,Canton,0,0.003947368421052632
0.003,Dempsters,0,0.0041946308724832215
0.003,Little,0,0.019230769230769232
0.003,Narrowdale,0,0.039627039627039624
0.003,German,0.030303030303030304,0.012254901960784314
0.003,Stony,0.03225806451612903,0.005312084993359893
0.003,Broad,0.03571428571428571,0.0024600246002460025
0.003,Kyeburn,0.03571428571428571,0.007984031936127744
0.003,NorthCol,0.045454545454545456,0.003316749585406302
0.003,Venlaw,0.06666666666666667,0.00819672131147541
0.003,Catlins,0.08333333333333333,0.02127659574468085
0.003,Healy,0.0975609756097561,0.0175
0.003,Powder,0.1,0.005722460658082976
0.003,AkatoreB,0.3333333333333333,0.49765258215962443
0.0059,Canton,0,0.0013157894736842105
0.0059,Sutton,0,0.0016501650165016502
0.0059,NorthCol,0,0.001658374792703151
0.0059,Kyeburn,0,0.001996007984031936
0.0059,Blackrock,0,0.002403846153846154
0.0059,Dempsters,0,0.0025167785234899327
0.0059,Berwick,0,0.003401360544217687
0.0059,Little,0,0.011538461538461539
0.0059,Narrowdale,0,0.016317016317016316
0.0059,German,0.030303030303030304,0.012254901960784314
0.0059,Stony,0.03225806451612903,0.005312084993359893
0.0059,Powder,0.03333333333333333,0.002861230329041488
0.0059,Broad,0.03571428571428571,0.0024600246002460025
0.0059,Venlaw,0.06666666666666667,0.00819672131147541
0.0059,Healy,0.07317073170731707,0.01
0.0059,Catlins,0.08333333333333333,0.009671179883945842
0.0059,AkatoreB,0.25,0.20187793427230047
0.01,Berwick,0,0.0011337868480725624
0.01,Canton,0,0.0013157894736842105
0.01,Stony,0,0.0013280212483399733
0.01,Powder,0,0.001430615164520744
0.01,Sutton,0,0.0016501650165016502
0.01,NorthCol,0,0.001658374792703151
0.01,Kyeburn,0,0.001996007984031936
0.01,Blackrock,0,0.002403846153846154
0.01,Dempsters,0,0.0025167785234899327
0.01,Venlaw,0,0.006557377049180328
0.01,Narrowdale,0,0.006993006993006993
0.01,Little,0,0.011538461538461539
0.01,German,0.030303030303030304,0.012254901960784314
0.01,Broad,0.03571428571428571,0.0024600246002460025
0.01,Healy,0.04878048780487805,0.0075
0.01,Catlins,0.08333333333333333,0.0038684719535783366
0.01,AkatoreB,0.08333333333333333,0.09389671361502347
0.015,AkatoreB,0,0
0.015,Berwick,0,0.0011337868480725624
0.015,Canton,0,0.0013157894736842105
0.015,Stony,0,0.0013280212483399733
0.015,Powder,0,0.001430615164520744
0.015,Sutton,0,0.0016501650165016502
0.015,NorthCol,0,0.001658374792703151
0.015,Kyeburn,0,0.001996007984031936
0.015,Narrowdale,0,0.002331002331002331
0.015,Blackrock,0,0.002403846153846154
0.015,Dempsters,0,0.0025167785234899327
0.015,Venlaw,0,0.004918032786885246
0.015,German,0,0.007352941176470588
0.015,Little,0,0.011538461538461539
0.015,Healy,0.024390243902439025,0.005
0.015,Broad,0.03571428571428571,0.0024600246002460025
0.015,Catlins,0.08333333333333333,0.0038684719535783366
0.03,AkatoreB,0,0
0.03,Dempsters,0,8.389261744966443e-4
0.03,Berwick,0,0.0011337868480725624
0.03,Canton,0,0.0013157894736842105
0.03,Stony,0,0.0013280212483399733
0.03,Powder,0,0.001430615164520744
0.03,Sutton,0,0.0016501650165016502
