card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
243,2,1963,Taieri R,743.184,Shannon Stream,day,unk,h43,2282500,5501800,400,97,ef,,1,salfon,,,,,14054301
243,2,1963,Taieri R,743.184,Shannon Stream,day,unk,h43,2282500,5501800,400,97,ef,,1,perflu,,,,,14054301
251,10,1978,Taieri R,743.05,North West Creek,day,niwa,h44,2269700,5484000,390,55,ef,,1,gobiom,c,,,,14059774
251,10,1978,Taieri R,743.05,North West Creek,day,niwa,h44,2269700,5484000,390,55,ef,,1,saltru,c,10,,,14059774
251,10,1978,Taieri R,743.05,North West Creek,day,niwa,h44,2269700,5484000,390,55,ef,,1,perflu,r,,,,14059774
251,10,1978,Taieri R,743.05,North West Creek,day,niwa,h44,2269700,5484000,390,55,ef,,1,parane,a,,,,14059774
251,10,1978,Taieri R,743.05,North West Creek,day,niwa,h44,2269700,5484000,390,55,ef,,1,galbre,r,,,,14059774
252,10,1977,Taieri R,743.056,Nardoo Stream,day,niwa,h44,2265100,5483000,400,58,ef,,1,parane,r,,,,14060082
252,10,1977,Taieri R,743.056,Nardoo Stream,day,niwa,h44,2265100,5483000,400,58,ef,,1,galbre,a,,,,14060082
252,10,1977,Taieri R,743.056,Nardoo Stream,day,niwa,h44,2265100,5483000,400,58,ef,,1,saltru,r,,,,14060082
253,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5480000,400,51,ef,,1,saltru,a,,,,14060948
253,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5480000,400,51,ef,,1,parane,r,,,,14060948
253,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5480000,400,51,ef,,1,galbre,a,,,,14060948
253,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5480000,400,51,ef,,1,oncmyk,r,,,,14060948
254,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2280200,5480800,430,52,ef,,1,oncmyk,a,30,,,14060789
254,10,1977,Taieri R,743.053,Verter Burn,day,niwa,h44,2280200,5480800,430,52,ef,,1,saltru,r,7,,,14060789
255,10,1977,Taieri R,743.05,Lake Mahinerangi tributary,,niwa,h44,2273200,5476100,400,46,ef,,1,saltru,a,,,,14061914
256,10,1977,Taieri R,743.054,Pioneer Stream tributary,,niwa,h44,2270700,5477800,490,51,ef,,1,parane,r,,,,14061595
256,10,1977,Taieri R,743.054,Pioneer Stream tributary,,niwa,h44,2270700,5477800,490,51,ef,,1,saltru,r,,,,14061595
256,10,1977,Taieri R,743.054,Pioneer Stream tributary,,niwa,h44,2270700,5477800,490,51,ef,,1,perflu,r,,,,14061595
263,10,1980,Taieri R,743.053,Verter Burn,1500,niwa,h44,2281800,5481000,440,55,ef,,1,galbre,r,,,,14060641
263,10,1980,Taieri R,743.053,Verter Burn,1500,niwa,h44,2281800,5481000,440,55,ef,,1,parane,r,,,,14060641
263,10,1980,Taieri R,743.053,Verter Burn,1500,niwa,h44,2281800,5481000,440,55,ef,,1,saltru,c,,,,14060641
263,10,1980,Taieri R,743.053,Verter Burn,1500,niwa,h44,2281800,5481000,440,55,ef,,1,oncmyk,c,,,,14060641
264,10,1980,Taieri R,743.056,Nardoo Stream,1520,niwa,h44,2264000,5483100,470,60,ef,,1,saltru,o,,,,14060047
265,10,1980,Taieri R,743.053,Verter Burn,1530,niwa,h44,2281800,5481000,440,55,ef,,1,galbre,r,,,,14060641
265,10,1980,Taieri R,743.053,Verter Burn,1530,niwa,h44,2281800,5481000,440,55,ef,,1,saltru,r,,,,14060641
265,10,1980,Taieri R,743.053,Verter Burn,1530,niwa,h44,2281800,5481000,440,55,ef,,1,parane,r,,,,14060641
265,10,1980,Taieri R,743.053,Verter Burn,1530,niwa,h44,2281800,5481000,440,55,ef,,1,oncmyk,c,,,,14060641
273,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2281800,5480900,440,55,ef,,1,oncmyk,c,30,,,14060641
273,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2281800,5480900,440,55,ef,,1,saltru,c,,,,14060641
273,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2281800,5480900,440,55,ef,,1,galbre,o,5,,,14060641
274,5,1982,Taieri R,743.053,Verter Burn,1300,niwa,h44,2280200,5480800,430,52,ef,,1,saltru,o,,,,14060789
274,5,1982,Taieri R,743.053,Verter Burn,1300,niwa,h44,2280200,5480800,430,52,ef,,1,oncmyk,o,,,,14060789
276,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2279400,5479900,400,51,ef,,1,galbre,r,,,,14060948
276,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2279400,5479900,400,51,ef,,1,oncmyk,o,8,,,14060948
276,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2279400,5479900,400,51,ef,,1,saltru,c,,,,14060948
276,5,1982,Taieri R,743.053,Verter Burn,1000,niwa,h44,2279400,5479900,400,51,ef,,1,parcur,n,,,,14060948
282,9,1985,Taieri R,743.053,Verter Burn,1030,niwa,h44,2279400,5479900,400,51,ef,,1,oncmyk,,10,,,14060948
282,9,1985,Taieri R,743.053,Verter Burn,1030,niwa,h44,2279400,5479900,400,51,ef,,1,saltru,,30,,,14060948
282,9,1985,Taieri R,743.053,Verter Burn,1030,niwa,h44,2279400,5479900,400,51,ef,,1,galbre,o,,,,14060948
283,9,1985,Taieri R,743.053,Verter Burn,1300,niwa,h44,2281200,5481600,450,53,ef,,1,galbre,o,,,,14060641
283,9,1985,Taieri R,743.053,Verter Burn,1300,niwa,h44,2281200,5481600,450,53,ef,,1,oncmyk,c,20,,,14060641
283,9,1985,Taieri R,743.053,Verter Burn,1300,niwa,h44,2281200,5481600,450,53,ef,,1,saltru,o,,,,14060641
285,8,1989,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5479900,400,51,ef,,1,parane,o,,,,14060948
285,8,1989,Taieri R,743.053,Verter Burn,day,niwa,h44,2279400,5479900,400,51,ef,,1,galbre,c,,,,14060948
