site,taxa,no.m2,avg.mm.BL
Blackrock,Amphipoda,198.17,1.92105263
Blackrock,Aoteapsyche,172,3.46153846
Blackrock,Aphrophila,59.83,6.375
Blackrock,Austroperla cyrene,7.48,NA
Blackrock,Austrosimulium,22.43,3.66666667
Blackrock,Coloburiscus,78.52,3.13636364
Blackrock,Costachorema,56.09,3.95454545
Blackrock,Deleatidium,3645.64,3.53222018
Blackrock,Diamesid br or,931.04,2.58024691
Blackrock,Elmid adult,14.96,3.25
Blackrock,Elmid larva,1948.08,5.43589744
Blackrock,Eukief-shiny-black,3.74,2
Blackrock,Flatworm,33.65,3.875
Blackrock,Helicopsyche,7.48,2.75
Blackrock,Hudsonema amabilis,3.74,2
Blackrock,Hydrobiosidae,48.61,2.66666667
Blackrock,Large tars,3.74,4
Blackrock,Megaleptoperla diminuta,138.35,2.94736842
Blackrock,Megaleptoperla grandis,29.91,4
Blackrock,Muscoid larva,26.17,6.66666667
Blackrock,Nothodixa,3.74,NA
Blackrock,Oligo I,2202.34,10.2252907
Blackrock,Oligo II,26.17,10.1428571
Blackrock,Olinga,3.74,NA
Blackrock,Orchymontia,14.96,2
Blackrock,Ortho blu blk,130.87,2.72916667
Blackrock,Ortho blu blnd,119.65,2.84782609
Blackrock,Parachironomus,26.17,5.1
Blackrock,Parumbripennis,29.91,8
Blackrock,Pelicypod,3.74,NA
Blackrock,Philorheithrus agilis,3.74,NA
Blackrock,Potamopyrgus,1761.13,2.678714859
Blackrock,Psilachorema,3.74,6
Blackrock,Pycnocentria,11.22,1.25
Blackrock,Pycnocentrodes,71.04,2.444444444
Blackrock,Scirtid broad,3.74,NA
Blackrock,Stratiomyidae,3.74,NA
Blackrock,Zealandoperla/Acroperla,33.65,5.5
Blackrock,Zealolessica cheira,3.74,NA
Broad,Amphipoda,243.98,1.614285714
Broad,Aphrophila neozelandica,20.91,3.833333333
Broad,Archichauliodes diversus,6.97,31
Broad,Australense,1150.17,3.151515152
Broad,Austroperla cyrene,13.94,10.25
Broad,Blunt-black-ortho,41.82,2.416666667
Broad,Brundin type,146.39,4.285714286
Broad,Coloburiscus humeralis,13.94,4.5
Broad,Costachorema xanthoptera,153.36,6.909090909
Broad,Deleatidium sp,4063.95,4.261578045
Broad,Diamesid-brown-orange,1038.64,2.069127517
Broad,Elmidae adult,20.91,4.333333333
Broad,Elmidae larvae ,1512.65,4.147465438
Broad,Empididae,6.97,3
Broad,Eukief-shiny-black,683.13,2.295918367
Broad,Flatworm,731.93,3.323809524
Broad,Helicopsyche albescens,501.89,4.048611111
Broad,Homalaena sp (type H2),13.94,2
Broad,Hudsonema aliena,34.85,4
Broad,Hydrobiosidae,404.3,2.456896552
Broad,Megaleptoperla diminuta,230.03,4.378787879
Broad,Muscidae sp,55.77,3.8125
Broad,Nannochorista philpotti,34.85,5.3
Broad,Oligochaeta type II,6357.33,4.410087719
Broad,Olinga feredayi,6.97,4
Broad,Orchymontia sp,292.77,2.357142857
Broad,Ortho-blu-black,487.95,2.757142857
Broad,Ortho-blu-blond,683.13,2.5
Broad,Oxyethira albiceps,27.88,2.375
Broad,Philorheitrus agilis,27.88,3.875
Broad,Podonomidae,69.71,2.9
Broad,Polyped type,104.56,3.2
Broad,Potamopyrgus antipodarum,508.86,3.102739726
Broad,Psilachorema sp,97.59,7.607142857
Broad,Pycnocentria sp,6.97,1.5
Broad,Pycnocentrodes sp,55.77,3.125
Broad,Scirtidae skinny,6.97,2.5
