consumer,resource,source.id,res.order,res.family,res.genus,res.method,con.order,con.family,con.genus,con.method,linkevidence
Acroperla,Austrosimulium,Healy,Diptera,Simuliidae,Austrosimulium,genus,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Oligochaetae,Blackrock,Oligochaetae,NA,NA,order,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Orthocladiinae,Healy,Diptera,Chironomidae,NA,family,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Deleatidium,Stony,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Chironominae,Healy,Diptera,Chironomidae,NA,family,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Pirara,Healy,Diptera,Chironomidae,Pirara,family,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Acroperla,Austroclima,Healy,Ephemeroptera,Leptophlebiidae,Austroclima,genus,Plecoptera,Gripopterygidae,Acroperla,genus,direct
Ameletopsis,Deleatidium,NorthCol,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Oligochaetae,AkatoreB,Oligochaetae,NA,NA,order,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Austroclima,Dempsters,Ephemeroptera,Leptophlebiidae,Austroclima,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Oligochaeta,Venlaw,Oligochaeta,NA,NA,order,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Hydrobiosella,AkatoreB,Trichoptera,Philopotamidae,Hydrobiosella,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Deleatidium,Venlaw,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Deleatidium,AkatoreA,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Orthocladiinae,Dempsters,Diptera,Chironomidae,NA,family,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Orthocladiinae,AkatoreA,Diptera,Chironomidae,NA,family,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Coloburiscus,AkatoreA,Ephemeroptera,Coloburiscidae,Coloburiscus,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Austroperla,AkatoreB,Plecoptera,Austroperlidae,Austroperla,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Deleatidium,Dempsters,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Pirara,Dempsters,Diptera,Chironomidae,Pirara,family,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Oligochaetae,AkatoreA,Oligochaetae,NA,NA,order,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Oniscigaster,Dempsters,Ephemeroptera,Oniscigastridae,Oniscigaster,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Chironominae,Dempsters,Diptera,Chironomidae,NA,family,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Ameletopsis,Deleatidium,Healy,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,direct
Anguilla,Ameletopsis,AkatoreA,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Ameletopsis,Dempsters,Ephemeroptera,Ameletopsidae,Ameletopsis,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Coloburiscus,AkatoreA,Ephemeroptera,Coloburiscidae,Coloburiscus,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Psilochorema,Little,Trichoptera,Hydrobiosidae,Psilochorema,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Deleatidium,Dempsters,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Pycnocentrodes,Dempsters,Trichoptera,Conoesucidae,Pycnocentrodes,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Deleatidium,Little,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Hydrobiosis,Dempsters,Trichoptera,Hydrobiosidae,Hydrobiosis,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Aoteapsyche,Dempsters,Trichoptera,Hydropsychidae,Aoteapsyche,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Coloburiscus,Dempsters,Ephemeroptera,Coloburiscidae,Coloburiscus,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Deleatidium,AkatoreA,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Oxyethira,Little,Trichoptera,Hydroptilidae,Oxyethira,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Ephydridae,Little,Diptera,Ephydridae,NA,family,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Aoteapsyche,AkatoreA,Trichoptera,Hydropsychidae,Aoteapsyche,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Olinga,Dempsters,Trichoptera,Conoesucidae,Olinga,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Potamopyrgus,Dempsters,Mollusca,Hydrobiidae,Potamopyrgus,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
Anguilla,Hydrobiosis,AkatoreA,Trichoptera,Hydrobiosidae,Hydrobiosis,genus,Anguilliformes,Anguillidae,Anguilla,genus,direct
