order,family,genus
Acari,Acari,Acari
Amphipoda,Paracalliopiidae,Paracalliope
Amphipoda,Paraleptamphopidae,Paraleptamphopidae
Amphipoda,Paraleptamphopidae,Paraleptamphopus
Anthomedusae,Hydridae,Hydra
Coleoptera,Dytiscidae,Onychohydrus
Coleoptera,Elmidae,Elmidae
Coleoptera,Elmidae,Elmidae_larvae
Coleoptera,Gyrinidae,Gyrinidae
Coleoptera,Hydraenidae,Hydraenidae
Coleoptera,Hydrophilidae,Hydrophilidae
Coleoptera,Ptilodactylidae,Ptilodactylidae
Coleoptera,Scirtidae,Scirtidae
Collembola,Collembola,Collembola
Copepoda,Copepoda,Copepoda
Decapoda,Parastacidae,Paranephrops
Diptera,Blephariceridae,Blephariceridae
Diptera,Blephariceridae,Neocurupira
Diptera,Ceratopogonidae,Ceratopogonidae
Diptera,Chironomidae,Chironomidae
Diptera,Chironomidae,Chironominae
Diptera,Chironomidae,Diamesinae
Diptera,Chironomidae,Eukiefferiella
Diptera,Chironomidae,Orthocladiinae
Diptera,Chironomidae,Tanypodinae
Diptera,Diptera,Diptera
Diptera,Dixidae,Dixidae
Diptera,Dixidae,Nothodixa
Diptera,Dolichopodidae,Dolichopodidae
Diptera,Dytiscidae,Dytiscidae
Diptera,Empididae,Empididae
Diptera,Limoniidae,Paralimnophila
Diptera,Muscidae,Muscidae
Diptera,Psychodidae,Psychodidae
Diptera,Simuliidae,Austrosimulium
Diptera,Tanyderidae,Tanyderidae
Diptera,Tipulidae,Aphrophila
Diptera,Tipulidae,Eriopterini
Diptera,Tipulidae,Hexatomini
Diptera,Tipulidae,Limonia
Diptera,Tipulidae,Tipulidae
Ephemeroptera,Ameletopsidae,Ameletopsis
Ephemeroptera,Coloburiscidae,Coloburiscus
Ephemeroptera,Ephemeroptera,Ephemeroptera
Ephemeroptera,Leptophlebiidae,Austroclima
Ephemeroptera,Leptophlebiidae,Deleatidium
Ephemeroptera,Leptophlebiidae,Leptophlebiidae
Ephemeroptera,Leptophlebiidae,Neozephlebia
Ephemeroptera,Leptophlebiidae,Zephlebia
Ephemeroptera,Nesameletidae,Nesameletus
Ephemeroptera,Oniscigastridae,Oniscigaster
Hirudinea,Hirudinea,Hirudinea
Mecoptera,Nannochoristidae,Nannochorista
Megaloptera,Corydalidae,Archichauliodes
Mollusca,Hydrobiidae,Potamopyrgus
Mollusca,Physidae,Physa
Mollusca,Planorbidae,Planorbidae
Mollusca,Sphaeriidae,Sphaerium
NA,NA,NA
Nematoda,Nematode,Nematode
Oligochaetae,Oligochaetae,Oligochaetae
Ostracoda,Ostracoda,Ostracoda
Platyhelminthes,Platyhelminthes,Platyhelminthes
Plecoptera,Austroperlidae,Austroperla
Plecoptera,Eustheniidae,Stenoperla
Plecoptera,Gripopterygidae,Acroperla
Plecoptera,Gripopterygidae,Megaleptoperla
Plecoptera,Gripopterygidae,Taraperla
Plecoptera,Gripopterygidae,Zelandobius
Plecoptera,Gripopterygidae,Zelandoperla
Plecoptera,Notonemouridae,Spaniocerca
Plecoptera,Notonemouridae,Spaniocercoides
Plecoptera,Notonemuridae',Cristaperla
Plecoptera,Plecoptera,Plecoptera
Terrestrial,Terrestrial,terr?
Trichoptera,Conoesucidae,Beraeoptera
Trichoptera,Conoesucidae,Confluens
Trichoptera,Conoesucidae,Olinga
Trichoptera,Conoesucidae,Pycnocentria
Trichoptera,Conoesucidae,Pycnocentrodes
Trichoptera,Helicophidae,Alloecentrella
Trichoptera,Helicophidae,Pycnocentrella
Trichoptera,Helicophidae,Pycnocentrella
Trichoptera,Helicophidae,Zelolessica
Trichoptera,Helicopyshidae,Helicopsyche
Trichoptera,Helicopyshidae,Rakiura
Trichoptera,Hydrobiosidae,Costachorema
Trichoptera,Hydrobiosidae,Edpercivalia
Trichoptera,Hydrobiosidae,Hydrobiosidae
Trichoptera,Hydrobiosidae,Hydrobiosis
Trichoptera,Hydrobiosidae,Hydrochorema
Trichoptera,Hydrobiosidae,Neurochorema
Trichoptera,Hydrobiosidae,Psilochorema
Trichoptera,Hydropsychidae,Aoteapsyche
Trichoptera,Hydroptilidae,Oxyethira
Trichoptera,Leptoceridae,Hudsonema
Trichoptera,Leptoceridae,Triplectides
Trichoptera,Oeconesidae,Oeconesus
Trichoptera,Philopotamidae,Hydrobiosella
Trichoptera,Philorheithridae,Philorheithrus
Trichoptera,Polycentropidae,Polyplectropus
Trichoptera,Trichoptera,Trichoptera
