NZFFD code,Scientific name,Common name
aldfor,Aldrichetta forsteri,Yelloweye mullet
ameneb,Ameiurus nebulosus,Catfish
angaus,Anguilla australis,Shortfin eel
angdie,Anguilla dieffenbachii,Longfin eel
angrei,Anguilla reinhardtii,Australian longfin eel
anguil,Anguilla spp.,Unidentified eel
caraur,Carassius auratus,Goldfish
chefos,Cheimarrichthys fosteri,Torrentfish
cteide,Ctenopharyngodon idella,Grass carp
cypcar,Cyprinus carpio,Koi carp
galano,Galaxias anomalus,Roundhead galaxias
galarg,Galaxias argenteus,Giant kokopu
galaxi,Galaxias spp.,Unidentified galaxiid
galbre,Galaxias brevipinnis,Koaro
galcob,Galaxias cobitinis,Lowland longjaw galaxias
galdep,Galaxias depressiceps,Flathead galaxias
galdiv,Galaxias divergens,Dwarf galaxias
galeld,Galaxias eldoni,Eldons galaxias
galfas,Galaxias fasciatus,Banded kokopu
galgol,Galaxias gollumoides,Gollum galaxias
galgra,Galaxias gracilis,Dwarf inanga
galmac,Galaxias maculatus,Inanga
galmar,Galaxias macronasus,Bignose galaxias
galpau,Galaxias paucispondylus,Alpine galaxias
galpos,Galaxias postvectis,Shortjaw kokopu
galpro,Galaxias prognathus,Upland longjaw galaxias
galpul,Galaxias pullus,Dusky galaxias
galspd,"Galaxias ""species D""","Galaxias ""species D"""
galspn,"Galaxias ""northern""","Galaxias ""northern"""
galsps,"Galaxias ""southern""","Galaxias ""southern"""
galspt,"Galaxias ""teviot""","Galaxias ""teviot"""
galvul,Galaxias vulgaris,Canterbury galaxias
gamaff,Gambusia affinis,Gambusia
geoaus,Geotria australis,Lamprey
gobalp,Gobiomorphus alpinus,Tarndale bully
gobbas,Gobiomorphus basalis,Crans bully
gobbre,Gobiomorphus breviceps,Upland bully
gobcot,Gobiomorphus cotidianus,Common bully
gobgob,Gobiomorphus gobioides,Giant bully
gobhub,Gobiomorphus hubbsi,Bluegill bully
gobhut,Gobiomorphus huttoni,Redfin bully
gobiom,Gobiomorphus spp.,Unidentified bully
graham,Grahamina sp.,Estuarine triplefin
hypmol,Hypophthalmichthys molitrix,Silver carp
hyrmen,Hyridella menziesi,Freshwater mussel
leuidu,Leuciscus idus,Golden orfe
marine,Marine,Marine species
mugcep,Mugil cephalus,Grey mullet
mugil,Mugil,Unidentified mullet
neoapo,Neochanna apoda,Brown mudfish
neobur,Neochanna burrowsius,Canterbury mudfish
neodiv,Neochanna diversus,Black mudfish
neohel,Neochanna heleios,Burgundy mudfish
neorek,Neochanna rekohua,Chatham mudfish
nospec,Nil,No species recorded
oncmyk,Oncorhynchus mykiss,Rainbow trout
oncner,Oncorhynchus nerka,Sockeye salmon
onctsh,Oncorhynchus tshawytscha,Chinook salmon
parane,Paranephrops spp.,Koura
parcur,Paratya curvirostris,Freshwater shrimp
parmar,Parioglossus marginalis,Dart goby
perflu,Perca fluviatilis,Perch
poelat,Poecilia latipinna,Sailfin molly
poeret,Poecilia reticulata,Guppy
prooxy,Prototroctes oxyrhynchus,Grayling
retret,Retropinna retropinna,Common smelt
rhombo,Rhombosolea spp.,Unidentified flounder
rhoret,Rhombosolea retiaria,Black flounder
salfon,Salvelinus fontinalis,Brook char
salmo,Salmo,Unidentified salmonid
salsal,Salmo salar,Atlantic salmon
saltru,Salmo trutta,Brown trout
scaery,Scardinius erythrophthalmus,Rudd
stoani,Stokellia anisodon,Stokells smelt
tintin,Tinca tinca,Tench
