consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Paranephrops zealandicus,Acanthophlebia,Invertebrate,Ephemeroptera,Leptophlebiidae,,Acanthophlebia,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Acari,Invertebrate,Acari,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Archichauliodes diversus,Acari,Invertebrate,Acari,,,,,order,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Paranephrops zealandicus,Acari,Invertebrate,Acari,,,,,order,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Paranephrops zealandicus,Acroperla,Invertebrate,Plecoptera,Gripopterygidae,,Acroperla,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Archichauliodes diversus,Acroperla trivacuatus,Invertebrate,Plecoptera,Gripopterygidae,,Acroperla,Acroperla trivacuatus,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Acroperla trivacuatus,Invertebrate,Plecoptera,Gripopterygidae,,Acroperla,Acroperla trivacuatus,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Paranephrops zealandicus,Actinastrum,Diatom,,,,,,,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Acanthophlebia,Algae,Algae,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Acanthophlebia,,genus,direct,4
Aoteapsyche,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,direct,4
Aphrophila,Algae,Algae,,,,,,category,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,direct,4
Austroperla,Algae,Algae,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,,genus,direct,4
Chironomidae,Algae,Algae,,,,,,category,Invertebrate,Diptera,Chironomidae,,,,family,direct,4
Coloburiscus,Algae,Algae,,,,,,category,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,direct,4
Deleatidium,Algae,Algae,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,4
Diamesinae,Algae,Algae,,,,,,category,Invertebrate,Diptera,Chironomidae,Diamesinae,,,subfamily,direct,4
Elmidae,Algae,Algae,,,,,,category,Invertebrate,Coleoptera,Elmidae,,Hydora.larvae,,genus,direct,4
Eriopterini,Algae,Algae,,,,,,category,Invertebrate,Diptera,Tipulidae,,Eriopterini,,genus,direct,4
Hydrobiosella,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Orthopsyche,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Orthopsyche,,genus,direct,4
Platyhelminthes,Algae,Algae,,,,,,category,Invertebrate,Platyhelminthes,,,,,order,direct,4
Polyplectropus,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,direct,4
Ptylidactylidae,Algae,Algae,,,,,,category,Invertebrate,Coleoptera,Ptylidactylidae,,,,family,direct,4
Pycnocentria,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,direct,4
Pycnocentrodes,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,,genus,direct,4
Spaniocerca,Algae,Algae,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,,genus,direct,4
Tanypodinae,Algae,Algae,,,,,,category,Invertebrate,Diptera,Chironomidae,Tanypodinae,,,subfamily,direct,4
Zelandobius,Algae,Algae,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,,genus,direct,4
Zelandoperla,Algae,Algae,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,direct,4
Zephlebia,Algae,Algae,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Zephlebia,,genus,direct,4
Philanis plebeius,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Chathamidae,,Philanis,Philanis plebeius,genus,,8
Pycnocentrodes aeris,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,Pycnocentrodes aeris,genus,,8
Pycnocentrodes aureola,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,Pycnocentrodes aureola,genus,,8
Zelolessica,Algae,Algae,,,,,,category,Invertebrate,Trichoptera,Helicophidae,,Zelolessica,,genus,,8
Anguilla,Ameletopsis,Invertebrate,Ephemeroptera,Ameletopsidae,,Ameletopsis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
