ORDER,GROUP_CJP,Label_CJP,Name,ln_a,b,base,CJP_notes,notes
Other,Other,Acari,Acari,-5,2.5,2.718281828,,guess
Ephemeroptera,Ephemeroptera,Ameletopsis,Ameletopsis,-4.17,2.4294,2.718281828,,
Amphipoda,Other,Amphipoda,Amphipoda,-5.1499,3.015,2.718281828,,"Benke et al 1999, amphipoda (DM(mg) = aL(mm)^b)"
Trichoptera,Trichoptera,Aoteapsyche,Aoteapsyche,-6.0016,3.0349,2.718281828,uncased,
Diptera,Diptera,Aphrophila,Aphrophila,-4.2771,1.8086,2.718281828,,
Megaloptera,Other,Archichauliodes,Archichauliodes,-5.5204,2.6784,2.718281828,,
Ephemeroptera,Ephemeroptera,Deleatidium,Austroclima,-5.38,3.0555,2.718281828,,
Plecoptera,Plecoptera,Austroperla,Austroperla,-4.7875,2.5909,2.718282,,Towers et al. 2004
Diptera,Diptera,Austrosimulium,Austrosimulium,-4.9029,2.4205,2.718281828,,*black fly
Trichoptera,Trichoptera,Gen Trichoptera,Beraeoptera,-4.894,2.4364,2.718281828,cased,gen trichop
Diptera,,,Blephariceridae,-2.8777,1.2445,2.718281828,,Gen Diptera; Towers et al. 2004
Diptera,Diptera,Ceratopogonidae,Ceratopogonidae,-2.8777,1.2445,2.718281828,,Gen Diptera; Towers et al. 2004
Diptera,Diptera,Diptera,Ceratopogonidae,-2.8777,1.2445,2.718281828,,Gen Diptera; Towers et al. 2004
Diptera,Diptera,Gen Diptera,Ceratopogonidae,-2.8777,1.2445,2.718281828,,Gen Diptera; Towers et al. 2004
Diptera,,,Chironomidae Pupae,,,,,
Diptera,Diptera,Chironomidae,Chironominae,-3.8757,2.7206,2.718281828,,
Diptera,Diptera,Chironominae,Chironominae,-3.8757,2.7206,2.718281828,,
Cladocera,Other,Cladocera,Cladocera,-1.89279003,1.32,10,,"Rahkola  1998, mg"
Other,Other,Sphaeridae,Clam,-1.854,3.572,10,,sphaerium Stofells
Other,Other,Collembola,Collembola,NA,NA,NA,,NEED FORMULA
Ephemeroptera,Ephemeroptera,Coloburiscus,Coloburiscus,-3.6445,2.47,2.718281828,,
Copepoda,Other,Copepoda,Copepod,-2,2.27,10,,"Rahkola  1998, mg"
Copepoda,Other,Copepod,Copepoda,-2,2.27,10,,"Rahkola  1998, mg"
Trichoptera,,,Costachorema,-5.2103,2.2222,2.718281828,uncased,Gen Hydrobiosidae
Plecoptera,Plecoptera,Gen Plecoptera,Cristaperla,-4.4451,2.5044,2.718281828,,Gen Plecoptera; Towers et al. 2004
Ephemeroptera,Ephemeroptera,Deleatidium,Deleatidium,-5.38,3.0555,2.718281828,,
Chironominae,Diptera,Chironomidae,Diamesinae,-3.8757,2.7206,2.718281828,,"chironominae, general"
Chironominae,Diptera,Diamesinae,Diamesinae,-3.8757,2.7206,2.718281828,,"chironominae, general"
Diptera,Diptera,Gen Diptera,Diptera,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Diptera,,,Dixidae,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Coleoptera,,,Dytiscidae,-2.0076,3.2271,2.718281828,,Adult Coleoptera; Towers et al. 2004
Coleoptera,Coleoptera,Elmidae,Elmidae,-6.0784,3.092,2.718281828,,larvae
Coleoptera,Coleoptera,Elmidae larvae,Elmidae,-6.0784,3.092,2.718281828,,larvae
Coleoptera,Coleoptera,Adult Coleoptera,Elmidae Adult,-2.0076,3.2271,2.718281828,,Adult Coleoptera; Towers et al. 2004
Diptera,Diptera,Empididae,Empididae,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Diptera,Diptera,Gen Diptera,Empididae,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Ephemeroptera,,,Ephemeroptera,-4.6453,2.7011,2.718281828,,
Diptera,,,Eriopterini,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Diptera,,,Eukiefferiella,-3.8757,2.7206,2.718281828,,"chironominae, general"
Coleoptera,,,Gyrinidae,-6.0784,3.092,2.718281828,,Larval elmidae formula
Trichoptera,Trichoptera,Gen Trichoptera,Helicopsyche,-4.894,2.4364,2.718281828,*measure diameter across snail shell,gen trichop
Diptera,,,Hexatomini,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Trichoptera,Trichoptera,Gen Trichoptera,Hudsonema,-4.894,2.4364,2.718281828,cased,gen trichop
Trichoptera,Trichoptera,Gen Trichoptera,Hudsonema_Alienum,-4.894,2.4364,2.718281828,cased,
Trichoptera,Trichoptera,Gen Trichoptera,Hudsonema_Amabile,-4.894,2.4364,2.718281828,cased,
Coleoptera,Coleoptera,Adult Coleoptera,Hydraenidae,-2.0076,3.2271,2.718281828,,Adult Coleoptera; Towers et al. 2004
Trichoptera,Trichoptera,Gen Trichoptera,Hydrobiosella,-4.894,2.4364,2.718281828,uncased,Gen Tricho; Towers et al. 2004
Trichoptera,Trichoptera,Gen Hydrobiosidae,Hydrobiosis,-5.2103,2.2222,2.718281828,uncased,Gen Hydrobiosidae
Trichoptera,Trichoptera,Gen Trichoptera,Hydrochorema,-4.894,2.4364,2.718281828,uncased,Gen Tricho; Towers et al. 2004
Coleoptera,,,Hydrophilidae,-2.0076,3.2271,2.718281828,,Adult Coleoptera; Towers et al. 2004
Ephemeroptera,Ephemeroptera,Gen Ephemeroptera,Leptophlebiidae,-4.6453,2.7011,2.718281828,,
Diptera,,,Limonia,-2.8777,1.2445,2.718281828,,Gen Dipetera; Towers et al. 2004
Chironominae,Diptera,Chironomidae,Maoridiamesa,-3.8757,2.7206,2.718281828,,"chironominae, general"
Plecoptera,Plecoptera,Gen Plecoptera,Megaleptoperla,-4.4451,2.5044,2.718281828,,Gen Plecoptera; Towers et al. 2004
Other,Other,Oligochaeta,Nematoda,-2.618,1.875,10,,Oligochaet stoffels
