,Unidentified detritus,Terrestrial invertebrate,Macrophyte,moss cells,Achnanthes lanceoloata,Achnanthes linearis,Achnanthes minutissima,Achnanthes saxonica,Achnanthes sp. (small),Asterionella sp.,Cocconeis sp.,Cyclotella sp.,Cymbella aspera,Cymbella sp.,Cymbella kappii,Cymbella minuta,Diatoma heimale,Diploneis sp.,Epithemia sorex,Epithemia zebra,Eunotia sp. large,Eunotia sp.,Fragilaria vaucheriae,Fragilaria spp.,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema cf. olivaceum,Gomphonema truncatum,Gomphonema parvulum,Gomphonema subclavatum,Aulacoseira sp.,Melosira varians,Meridion circulare,Navicula avenacea,Navicula bicephala,Navicula cryptocephala,Navicula rhynchocephala,Navicula cf. radiosa,Navicula sp.,Nitzschia sp. (small),Nitzschia sp. (large),Hantzschia sp.,Pinnularia (small - mesolepta??),Pinnularia sp. (large),Rhoicosphenia curvata,Rhopalodia musculus,Rhopalodia novae zelandiae,Surirella (small),Surirella tenera ??,Synedra rumpens,Synedra ulna,Tabellaria flocculosa,Closterium sp.,Microspora sp.,Mougeotia?,Oedogonium,Spirogyra,Ulothrix,Unknown  green algal filaments,Unknown green algal cells,Blue-green algae,Audouinella,unknown red algae spp.,Acroperla sp.,Amphipoda spp.,Aoteapsyche sp. ,Aphrophila noevaezelandiae,Archichaulioides diversus,Austroclima jollyae,Austroperla cyrene,Austrosimulium australense,Ceratopogonid sp.,Unknown orthoclad,Cricotopus II,Maoridiamesea,Eukiefiriella,Larsia I,Pirara,Naonella,Podonomus,Polypedellum,Cricotopus I ,Tanytarsini,Coloburiscus humeralis,Costachorema xanthoptera,Deleatidium spp.,Eriopterini sp.,Helicopsyche albescens,Hudsonema amabilis,Hydora nitida (larva),Hydrobiosid sp.,Hydrobiosis parumbripennis,Megaleptoperla diminuta,Nesameletus ornatus,Oligochaete Type I,Oligochaete Type II,Olinga feredayii,Orchymontia sp.,Oxyethira albiceps,Philorheithrus agilis,Podaena sp. ,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilochorema bidens,Pycnocentria sp.,Pycnocentrodes evecta,Scirtid sp. (Broad type),Scirtid sp. (Skinny type),Stenoperla prasinia,Tiphobiosis sp.,Tipulid spp. ,Zelandoperla sp.,Galaxias sp. 
Unidentified detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Terrestrial invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Macrophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
moss cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Achnanthes lanceoloata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes saxonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Achnanthes sp. (small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Asterionella sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
