"","consumer","resource","source.id","res.order","res.family","res.genus","minimum.res.method","con.order","con.family","con.genus","minimum.con.method","linkevidence"
"1","Acroperla","Deleatidium","Stony","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"2","Acroperla","Austrosimulium","Healy","Diptera","Simuliidae","Austrosimulium","genus","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"3","Acroperla","Austroclima","Healy","Ephemeroptera","Leptophlebiidae","Austroclima","genus","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"4","Acroperla","Oligochaetae","Blackrock","Oligochaetae",NA,NA,"order","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"5","Acroperla","Orthocladiinae","Healy","Diptera","Chironomidae",NA,"family","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"6","Acroperla","Pirara","Healy","Diptera","Chironomidae","Pirara","family","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"7","Acroperla","Chironominae","Healy","Diptera","Chironomidae",NA,"family","Plecoptera","Gripopterygidae","Acroperla","genus","direct"
"8","Ameletopsis","Deleatidium","Dempsters","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"9","Ameletopsis","Austroclima","Dempsters","Ephemeroptera","Leptophlebiidae","Austroclima","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"10","Ameletopsis","Hydrobiosella","AkatoreB","Trichoptera","Philopotamidae","Hydrobiosella","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"11","Ameletopsis","Chironominae","Dempsters","Diptera","Chironomidae",NA,"family","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"12","Ameletopsis","Oligochaeta","Venlaw","Oligochaeta",NA,NA,"order","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"13","Ameletopsis","Deleatidium","NorthCol","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"14","Ameletopsis","Coloburiscus","AkatoreA","Ephemeroptera","Coloburiscidae","Coloburiscus","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"15","Ameletopsis","Oniscigaster","Dempsters","Ephemeroptera","Oniscigastridae","Oniscigaster","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"16","Ameletopsis","Oligochaetae","AkatoreA","Oligochaetae",NA,NA,"order","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"17","Ameletopsis","Orthocladiinae","AkatoreA","Diptera","Chironomidae",NA,"family","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"18","Ameletopsis","Oligochaetae","AkatoreB","Oligochaetae",NA,NA,"order","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"19","Ameletopsis","Deleatidium","Healy","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"20","Ameletopsis","Deleatidium","Venlaw","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"21","Ameletopsis","Orthocladiinae","Dempsters","Diptera","Chironomidae",NA,"family","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"22","Ameletopsis","Pirara","Dempsters","Diptera","Chironomidae","Pirara","family","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"23","Ameletopsis","Deleatidium","AkatoreA","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"24","Ameletopsis","Austroperla","AkatoreB","Plecoptera","Austroperlidae","Austroperla","genus","Ephemeroptera","Ameletopsidae","Ameletopsis","genus","direct"
"25","Anguilla","Psilochorema","Little","Trichoptera","Hydrobiosidae","Psilochorema","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"26","Anguilla","Orthocladiinae","Little","Diptera","Chironomidae",NA,"family","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"27","Anguilla","Hydrobiosis","Little","Trichoptera","Hydrobiosidae","Hydrobiosis","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"28","Anguilla","Hydora.adult","Little","Coleoptera","Elmidae","Hydora.adult","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"29","Anguilla","Aoteapsyche","AkatoreA","Trichoptera","Hydropsychidae","Aoteapsyche","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"30","Anguilla","Deleatidium","Dempsters","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"31","Anguilla","Helicopsyche","Dempsters","Trichoptera","Helicopsychidae","Helicopsyche","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"32","Anguilla","Pirara","Little","Diptera","Chironomidae","Pirara","family","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"33","Anguilla","Deleatidium","AkatoreA","Ephemeroptera","Leptophlebiidae","Deleatidium","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"34","Anguilla","Tanypodinae","Dempsters","Diptera","Chironomidae",NA,"family","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"35","Anguilla","Coloburiscus","AkatoreA","Ephemeroptera","Coloburiscidae","Coloburiscus","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"36","Anguilla","Pycnocentrodes","Dempsters","Trichoptera","Conoesucidae","Pycnocentrodes","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
"37","Anguilla","Olinga","Dempsters","Trichoptera","Conoesucidae","Olinga","genus","Anguilliformes","Anguillidae","Anguilla","genus","direct"
