locality,spcode,mean.min,mean.max
Barbours Stream,galeld,44.75,116.5
Big Stream,saltru,58.0,85.0
Big Stream tributary,angdie,450.0,820.0
Big Stream tributary,saltru,47.666666666666664,106.55555555555556
Black Rock Stream,galdep,47.666666666666664,75.33333333333333
Black Rock Stream,saltru,59.0,109.0
Boundary Creek,salfon,49.9,10367.9
Boundary Creek,salmo,125.5,125.5
Boundary Creek,saltru,71.6,191.6
Broad Stream,angdie,464.0,950.0
Broad Stream,galbre,94.5,144.0
Broad Stream,saltru,67.75,167.25
Burnt Creek,galbre,81.83333333333333,131.66666666666666
Burnt Creek,galpul,42.18421052631579,120.84210526315789
Burnt Creek,saltru,93.0,185.0
Cambridge Creek,galdep,80.0,110.0
Cambridge Creek tributary,galdep,55.0,115.0
Canton Stream,galeld,52.93333333333333,91.73333333333333
Cap Burn,galdep,60.0,110.0
Cap Burn tributary,galdep,60.0,80.0
Chain Gully,saltru,88.0,190.0
Clarkes Stream,saltru,67.0,172.0
Clarkes Stream tributary,galeld,40.0,85.0
Contour Channel tributary,galarg,62.0,219.0
Contour Channel tributary,gobcot,52.0,61.0
Contour Channel tributary,parane,15.0,35.0
Deadbullock Creek,saltru,53.666666666666664,146.33333333333334
Deadbullock Creek tributary,galano,54.0,68.0
Deadbullock Creek tributary,saltru,22.0,165.0
Deep Creek,galpul,42.0,48.0
Deep Creek,saltru,64.0,133.5
Deep Creek tributary,galeld,52.0,135.0
Deep Creek tributary,galpul,107.0,171.0
Deep Stream,galeld,41.0,76.0
Deep Stream,saltru,87.0,111.5
Deep Stream tributary,galeld,37.333333333333336,80.66666666666667
Deep Stream tributary,saltru,75.75,187.25
Deighton Creek,galdep,55.333333333333336,73.33333333333333
Deighton Creek,saltru,80.5,137.25
Devils Creek,galeld,41.0,110.0
Dewar Stream,saltru,74.0,118.0
East Branch Ewe Burn,galano,40.0,100.0
East Branch Ewe Burn,salfon,60.0,125.0
East Branch Ewe Burn,saltru,67.0,155.25
Emerald Creek,galdep,25.0,80.0
Emerald Creek tributary,galdep,79.0,81.0
Ewe Burn,galano,61.333333333333336,90.66666666666667
Ewe Burn,saltru,51.0,62.0
Fiddlers Creek,galeld,61.0,81.0
