name,FFG,FFG.2
Acari,CB,Parasite
Acroperla,CB,
Algae,Basal,Basal
Ameletopsis,P,P
Amphipoda,FF,
Anguilla,P,P
Anguilla.australis,P,P
Aoteapsyche,O,O
Aphrophila,P,CB
Archichauliodes,P,P
Atalophlebioides,SC,
Austroclima,SC,CB
Austroperla,S,S
Austrosimulium,FF,FF
Beraeoptera,CB,CB
Blephariceridae,SC,G
Ceratopogonidae,P,P
Chironomidae,CB,
Chironominae,CB,CB
Collembola,CB,CB
Coloburiscus,FF,FF
Copepoda,CB,CB
Costachorema,P,P
Cristaperla,CB,CB
Deleatidium,SC,CB
Detritus,Basal,Basal
Diamesinae,CB,CB
Diatom,Basal,Basal
Diptera,CB,
Dixidae,CB,CB
Dytiscidae,P,P
Elmidae,CB,CB
Elmidae.adult,CB,
Elmidae.larvae,CB,
Empididae,P,P
Ephydridae,CB,
Eriopterini,CB,P
Eukiefferiella,CB,CB
Fungi,Basal,Basal
Galaxias,P,P
Galaxias.fasciatus,P,P
Galaxias.maculatus,P,P
Gobiomorphus,P,
Gobiomorphus.huttoni,P,P
Gyrinidae,P,P
Helicopsyche,CB,CB
Hexatomini,P,CB
Hudsonema,P,S
Hydra,P,P
Hydraena,CB,
Hydraenidae,CB,CB
Hydrobiosella,P,P
Hydrobiosis,P,P
Hydrochorema,P,P
Hydrophilidae,CB,CB
Leptophlebiidae,CB,CB
Limonia,P,P
Megaleptoperla,P,P
Muscidae,P,
Nannochorista,P,
Nematode,CB,CB
Neozephlebia,CB,CB
Nesameletus,G,G
Oeconesus,CB,S
Oligachaete,CB,CB
Oligochaeta,CB,
Oligochaetae,CB,CB
Olinga,CB,S
Oniscigaster,CB,
Onychohydrus,P,P
Orthocladiinae,CB,CB
Orthocladinae,CB,CB
Orthocladinea,CB,CB
Ostracoda,FF,FF
Oxyethira,G,G
Paracalliope,CB,CB
Paraleptamphopidae,CB,CB
Paraleptamphopus,CB,CB
Paralimnophila,P,P
Paranephrops,P,P
Paroxyethira,CB,H
Philopotamidae,P,CB
Philorheithrus,P,P
Planorbidae,P,P
Plant.material,Basal,Basal
Platyhelminthes,P,P
Podaena,CB,
Podonominae,CB,
Polyplectropus,P,FF
Potamopyrgus,G,G
Psilochorema,P,P
Psychodidae,CB,CB
Pycnocentrella,CB,CB
Pycnocentria,CB,CB
Pycnocentrodes,CB,CB
Rakiura,CB,CB
Salmo,P,P
Salmo.trutta,P,P
Scirtidae,S,S
Spaniocerca,CB,CB
Spaniocercoides,CB,CB
Staphylinidae,,
Stenoperla,P,P
Stratiomyidae,,
Tabanidae,P,
Tanyderidae,P,CB
Tanypodinae,CB,CB
Taraperla,CB,CB
Terrestrial.invertebrates,Basal,Basal
Tiphobiosis,P,
Tipulidae,S,S
Zelandobius,CB,CB
Zelandoperla,CB,CB
Zelolessica,CB,CB
Zephlebia,SC,CB
