order,family,genus,name,minimum.res.method,minimum.con.method
Acari,,,Acari,order,order
Achnanhtales,Achnanthacea,Achnanthes,Achnanthes,genus,genus
Cocconeidales,Achnanthidiaceae,Achnanthidium,Achnanthidium,genus,genus
Plecoptera,Gripopterygidae,Acroperla,Acroperla,genus,genus
Eunotiales,Eunotiaceae,Actinella,Actinella,order,order
Naviculales,Naviculaceae,Adlafia,Adlafia,order,order
Trichoptera,Helicophidae,Alloecentrella,Allocentrella,family,family
Trichoptera,Helicophidae,Alloecentrella,Alloecentrella,genus,genus
Ephemeroptera,Ameletopsidae,Ameletopsis,Ameletopsis,genus,genus
Amphipoda,,,Amphipoda,order,order
Thalassiophysales,Catenulaceae,Amphora,Amphora,genus,genus
Anguilliformes,Anguillidae,Anguilla,Anguilla,genus,genus
Anguilliformes,Anguillidae,Anguilla,Anguilla.australis,genus,genus
Anguilliformes,Anguillidae,Anguilla,Anguilla.dieffenbachii,genus,genus
Hemiptera,Notonectidae,Anisops,Anisops,order,family
Spaeropleales,Selenastraceae,Ankistrodesmus,Ankistrodesmus,genus,genus
Trichoptera,Hydropsychidae,Aoteapsyche,Aoteapsyche,genus,genus
Diptera,Tipulidae,Aphrophila,Aphrophila,genus,genus
Megaloptera,Corydalidae,Archichauliodes,Archichauliodes,genus,genus
Pennales,Fragilariaceae,Asterionella,Asterionella,genus,genus
Ephemeroptera,Leptophlebiidae,Atalophlebioides,Atalophlebioides,genus,genus
Acrochaetiales,Acrochaeticeae,Audouinella,Audouinella,genus,genus
Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira,genus,genus
Nostocales,Fortieaceae,Aulosira,Aulosira,genus,genus
Ephemeroptera,Leptophlebiidae,Austroclima,Austroclima,genus,genus
Plecoptera,Austroperlidae,Austroperla,Austroperla,genus,genus
Diptera,Simuliidae,Austrosimulium,Austrosimulium,genus,genus
Batrachospermales,Batrachospermaceae,Batrachospermum,Batrachospermum,genus,genus
Trichoptera,Conoesucidae,Beraeoptera,Beraeoptera,genus,genus
Diptera,Blephariceridae,,Blephariceridae,family,family
Blue.green.algae,,,Blue.green.algae,order,order
Naviculales,Brachysiracea,Brachysira,Brachysira,order,order
Naviculales,Naviculaceae,Caloneis,Caloneis,genus,genus
Nostocales,Rivulariaceae,Calothrix,Calothrix,genus,genus
Diptera,Ceratopogonidae,,Ceratopogonidae,family,family
Diptera,Chironomidae,,Chironomidae,family,family
Diptera,Chironomidae,,Chironominae,family,family
Diptera,Chironomidae,Chironomus,Chironomus,family,genus
Desmidiales,Closteriaceae,Closterium,Closterium,genus,genus
Achnanhtales,Cocconeidaceae,Cocconeis,Cocconeis,genus,genus
Collembola,,,Collembola,order,order
Ephemeroptera,Coloburiscidae,Coloburiscus,Coloburiscus,genus,genus
Trichoptera,Conoesucidae,Confluens,Confluens,genus,genus
Copepoda,,,Copepoda,order,order
Diptera,Chironomidae,Coryoneura,Coryoneura,family,genus
Desmidiales,Desmiadiaceae,Cosmarium,Cosmarium,genus,genus
Trichoptera,Hydrobiosidae,Costachorema,Costachorema,genus,genus
Naviculales,Stauroneidaceae,Craticula,Craticula,order,order
Diptera,Chironomidae,Cricotopus,Cricotopus,family,genus
